Activity ID,Activity Date,Activity Name,Activity Type,Activity Description,Elapsed Time,Distance,Max Heart Rate,Relative Effort,Commute,Activity Private Note,Activity Gear,Filename,Athlete Weight,Bike Weight,Elapsed Time,Moving Time,Distance,Max Speed,Average Speed,Elevation Gain,Elevation Loss,Elevation Low,Elevation High,Max Grade,Average Grade,Average Positive Grade,Average Negative Grade,Max Cadence,Average Cadence,Max Heart Rate,Average Heart Rate,Max Watts,Average Watts,Calories,Max Temperature,Average Temperature,Relative Effort,Total Work,Number of Runs,Uphill Time,Downhill Time,Other Time,Perceived Exertion,Type,Start Time,Weighted Average Power,Power Count,Prefer Perceived Exertion,Perceived Relative Effort,Commute,Total Weight Lifted,From Upload,Grade Adjusted Distance,Weather Observation Time,Weather Condition,Weather Temperature,Apparent Temperature,Dewpoint,Humidity,Weather Pressure,Wind Speed,Wind Gust,Wind Bearing,Precipitation Intensity,Sunrise Time,Sunset Time,Moon Phase,Bike,Gear,Precipitation Probability,Precipitation Type,Cloud Cover,Weather Visibility,UV Index,Weather Ozone,Jump Count,Total Grit,Average Flow,Flagged,Average Elapsed Speed,Dirt Distance,Newly Explored Distance,Newly Explored Dirt Distance,Activity Count,Total Steps,Carbon Saved,Pool Length,Training Load,Intensity,Average Grade Adjusted Pace,Timer Time,Total Cycles,Recovery,With Pet,Competition,Long Run,For a Cause,Media
6689038186,"Nov 30, 2021, 8:36:52 PM",Afternoon Run,Run,,1850,0.69,,,false,,,activities/7113793455.fit.gz,,,1850.0,137.0,694.6,5.956,5.07,0.0,1.0,138.7,139.1,2.3,0.0,,,92.0,90.0,,,,,30.0,,,,,,,,,,,,,,,,0.0,,1.0,695.5,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.375,0.0,,,,,,,,,,,,,,,,,""
6689038191,"Jan 31, 2022, 9:14:14 PM",Afternoon Run,Run,,375,0.80,,,false,,,activities/7113793472.fit.gz,,,375.0,142.0,805.6,7.454,5.673,0.0,3.0,138.8,139.1,1.4,0.0,,,105.0,96.0,,,,,32.0,,,,,,,,,,,,,,,,0.0,,1.0,806.1,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.148,0.0,,,,,,,,,,,,,,,,,""
6689038193,"Nov 30, 2021, 9:18:56 PM",Afternoon Run,Run,,994,2.88,,,false,,,activities/7113793474.fit.gz,,,994.0,973.0,2885.5,3.69,2.966,11.3,80.0,143.7,150.3,3.1,0.0,,,86.0,83.0,,,,,188.0,,,,,,,,,,,,,,,,0.0,,1.0,2896.6,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.903,205.3,,,,,,,,,,,,,,,,,""
6689038199,"Dec 31, 2021, 1:29:15 PM",Morning Run,Run,,2349,8.04,,,false,,,activities/7113793466.fit.gz,,,2349.0,2349.0,8046.8,4.723,3.426,69.4,191.0,127.0,154.3,9.1,-0.1,,,89.0,84.0,,,,,502.0,,,,,,,,,,,,,,,,0.0,,1.0,8122.2,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,3.426,683.6,,,,,,,,,,,,,,,,,""
6689038201,"Jan 5, 2022, 8:15:15 PM",Afternoon Run,Run,,2313,7.89,,,false,,,activities/7113793443.fit.gz,,,2313.0,2193.0,7889.4,4.922,3.598,101.1,219.0,121.4,154.3,9.1,0.1,,,86.0,83.0,,,,,492.0,,,,,,,,,,,,,,,,0.0,,1.0,8057.1,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,3.411,102.6,,,,,,,,,,,,,,,,,""
6689038205,"Feb 15, 2022, 8:09:03 PM",Afternoon Run,Run,,5984,11.37,,,false,,,activities/7113793476.fit.gz,,,5984.0,3011.0,11373.7,13.703,3.777,36.4,204.0,137.6,150.3,47.4,0.1,,,100.0,86.0,,,,,677.0,,,,,,,,,,,,,,,,0.0,,1.0,11452.3,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.901,5928.6,,,,,,,,,,,,,,,,,""
6689038213,"Dec 1, 2021, 8:07:06 PM",Afternoon Run,Run,,2912,10.28,,,false,,,activities/7113793473.fit.gz,,,2912.0,2912.0,10283.8,4.932,3.532,120.4,220.0,121.4,154.4,11.9,-0.1,,,88.0,83.0,,,,,631.0,,,,,,,,,,,,,,,,0.0,,1.0,10460.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,3.532,82.7,,,,,,,,,,,,,,,,,""
6689038220,"Feb 3, 2022, 8:05:50 PM",Afternoon Run,Run,,3347,11.26,,,false,,,activities/7113793470.fit.gz,,,3347.0,3322.0,11265.3,4.93,3.391,132.2,244.0,121.4,154.3,12.7,-0.1,,,91.0,84.0,,,,,704.0,,,,,,,,,,,,,,,,0.0,,1.0,11478.9,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,3.366,782.2,,,,,,,,,,,,,,,,,""
6689038225,"Jan 31, 2022, 8:10:18 PM",Afternoon Run,Run,,3356,11.27,,,false,,,activities/7113793483.fit.gz,,,3356.0,3189.0,11272.6,4.657,3.535,119.4,217.0,105.2,147.0,8.3,0.0,,,90.0,84.0,,,,,713.0,,,,,,,,,,,,,,,,0.0,,1.0,11427.7,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,3.359,344.4,,,,,,,,,,,,,,,,,""
6689038238,"Dec 11, 2021, 1:35:03 PM",Morning Run,Run,,4676,15.48,,,false,,,activities/7113793481.fit.gz,,,4676.0,4550.0,15486.3,5.368,3.404,164.4,374.0,92.5,147.7,10.8,0.0,,,106.0,83.0,,,,,966.0,,,,,,,,,,,,,,,,0.0,,1.0,15748.3,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,3.312,122.1,,,,,,,,,,,,,,,,,""
